,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
199,nm9141294,Mitch Bedincourt,\N,\N,actor,tt6907688,19.482552,-25.74457
200,nm11037262,Kiah Castaneda,\N,\N,special_effects,tt8405882,8.709861,-5.235224
201,nm9482414,Lily Leprovaux,\N,\N,,\N,22.72801,-17.563902
202,nm14602621,Eva Kubaniova,\N,\N,producer,tt21093696,-7.789262,-21.449738
203,nm4764664,Sapumal Karunanayak,\N,\N,actor,tt2106442,69.307076,-32.631084
204,nm13494106,Antonio Moroño,\N,\N,actor,tt0320598,-3.9470153,64.770004
205,nm9865124,Toby Tarrant,\N,\N,,"tt7316998,tt0338616,tt9821112",12.477889,-34.627243
206,nm14366814,Kristina Neyaskina,\N,\N,actress,tt22856274,-5.124089,14.605107
207,nm5687319,Olav Aleksander Skinstad Ile,\N,\N,make_up_department,tt2798170,30.633854,38.415783
208,nm0912213,Emma Warg,\N,\N,"actress,music_department","tt7322224,tt0270864,tt8767704,tt0120471",1.0338047,-14.252662
209,nm8938489,Randy Michael Zuleta,\N,\N,actor,tt5344870,22.684006,-2.9150434
210,nm10684563,Jared De Libero,\N,\N,"director,producer",tt10312858,23.357494,-2.7804453
211,nm9967223,Joseph,\N,\N,,\N,-18.784533,-68.96538
212,nm11012109,Miguel Joaquin Sarmiento,\N,\N,visual_effects,tt10161712,-3.8390841,82.5606
213,nm3868899,Cal Rhodes,\N,\N,"cinematographer,editor",tt1634564,-33.255356,-40.13038
214,nm1695556,Stephanie Barron,\N,\N,producer,"tt0250085,tt3790720,tt0236147,tt1805239",-36.841248,58.674767
215,nm9713644,Martin Perez,\N,\N,transportation_department,"tt6314340,tt11235772",-38.744682,-27.045906
216,nm9245639,Jacqueline Jecmen,\N,\N,,\N,-22.618732,29.534079
217,nm4610622,Via Fernandez,\N,\N,visual_effects,tt1201607,-20.428371,-47.459347
218,nm0951923,Doina Zaharia,\N,\N,editorial_department,"tt0083029,tt0130178,tt0188390,tt0125698",49.567963,7.549582
219,nm8658440,Andrew Walsh,\N,\N,,tt6352242,-44.569393,-34.350185
220,nm13581720,Moin Hussain,\N,\N,,\N,50.42065,-8.18846
221,nm2600978,David Snyder,\N,\N,miscellaneous,tt0400717,-46.686527,-21.41169
222,nm7031558,Altamash Faridi,1989,\N,"music_artist,composer,music_department","tt8108198,tt3735246,tt6527426,tt2574698",53.86399,-4.3657427
223,nm9298811,Jean Damascene Ndorimana,\N,\N,transportation_department,tt7106928,11.969248,19.44916
224,nm1166008,Nick Lofting,\N,\N,"editor,editorial_department,sound_department","tt0162958,tt0263053,tt1900975,tt2363050",-49.365467,-55.587334
225,nm12877605,Isha Saina,\N,\N,actress,tt15297206,58.40867,-20.004974
226,nm5651359,M. Sakakibara,\N,\N,miscellaneous,tt1976995,80.68292,5.5677824
227,nm6642703,Prince Moloto,\N,\N,actor,tt3783214,-42.178783,-2.6426077
228,nm7188989,Ashley Thomas-Evans,\N,\N,actor,"tt3291148,tt9145372",-21.026182,5.879875
229,nm1523996,Katharina Litzinger,\N,\N,"costume_department,costume_designer,production_designer","tt0076072,tt0088323",1.6447195,26.848978
230,nm14232169,Bruno Sirianni,\N,\N,actor,\N,3.907489,52.65523
231,nm13101501,Paulina Vega,\N,\N,,\N,-72.85692,7.367739
232,nm7240531,Isabel Oribivi,\N,\N,actress,tt0069255,27.42344,14.404172
233,nm11490187,Elaheh Farazmand,\N,\N,actress,"tt9266204,tt28214873",61.302773,-8.157929
234,nm14194836,María Blah,\N,\N,director,tt23150152,3.8461018,70.68075
235,nm2616218,Demyan Golushinsky,\N,\N,miscellaneous,tt0381429,55.53527,31.29938
236,nm12957824,Daniel Dang,\N,\N,actor,tt15470024,-36.28546,-4.6302204
237,nm7812744,Kristof Calvo,\N,\N,,"tt5189940,tt0403806,tt7497900,tt8269328",-8.780111,15.518113
238,nm6896565,Patrice Vuillemin,\N,\N,writer,tt4180562,-24.62235,41.24968
239,nm3613397,Charles E. Harraway III,\N,\N,actor,tt0247097,6.176824,-73.2977
240,nm7498898,Michael Simmons,\N,\N,miscellaneous,tt4777004,-33.851814,-37.355522
241,nm9719555,Bhanudas Vyavahare,\N,\N,"director,writer,producer",tt8180580,71.20032,-29.545893
242,nm9427583,Mingxin Chen,\N,\N,sound_department,tt7598894,37.289295,-58.752445
243,nm12288870,Valentin Roye,\N,\N,camera_department,"tt13823990,tt13967854,tt17506104,tt22180518",-4.681544,23.994307
244,nm13978711,Mercedes Alvarez Imaz,\N,\N,animation_department,tt1287507,-5.8118362,61.188774
245,nm8411989,Patrick Allen,\N,\N,actor,\N,-36.10483,-35.758057
246,nm4378684,Sven-Åke Karlsson,\N,\N,,tt0356232,29.549156,32.71481
247,nm10591939,David Bentley,\N,\N,miscellaneous,tt1602852,-46.290897,-22.29878
248,nm12158944,Dragos Coman,\N,\N,,tt0397125,-4.2322664,57.922817
249,nm13104791,Uberto Morosi,\N,\N,production_manager,tt15881684,-7.2400594,57.320717
250,nm3949859,Stu Smith,\N,\N,,tt1326817,-27.165365,-57.44043
251,nm14673185,Jeremy Whitaker,\N,\N,,\N,-68.73626,-13.258778
252,nm11965390,Iraklis Hatzipanagiotidis,\N,\N,miscellaneous,tt12889398,67.98893,36.499985
253,nm2556596,Ce-Lyt,\N,\N,camera_department,"tt0976044,tt0492597,tt2496550,tt1733291",36.985577,57.15768
254,nm8196238,Kelsey Greer,\N,\N,miscellaneous,tt2326612,12.954824,-0.37756762
255,nm11689651,David Fairman,\N,\N,actor,tt0064238,-45.23529,-21.622702
256,nm8616830,Martin Sündermann,\N,\N,cinematographer,tt6290000,-3.4978213,34.102306
257,nm5968784,Ray Stanley,\N,\N,actor,tt3210732,-33.25123,-41.837112
258,nm7325764,Blanca Navidad,\N,\N,actress,tt2260850,0.030059077,59.076443
259,nm9095008,Oliver Knipp,\N,\N,art_department,tt3711622,-28.88659,19.82013
260,nm9790825,Darren Koberlein,\N,\N,,tt0423652,-30.817278,-4.852407
261,nm5157506,Wendy Lay,\N,\N,casting_department,tt2051831,39.777733,-36.740604
262,nm8191757,Levi Halo,\N,\N,animation_department,tt5779656,10.717824,-9.59759
263,nm13210910,DJ Munari,\N,\N,producer,\N,-9.307897,-36.287464
264,nm12086881,Victor Aldridge,\N,\N,actor,tt13514454,-53.007893,32.794117
265,nm14880039,SeQual,\N,\N,actor,\N,29.140387,23.852776
266,nm5043726,Carlos Diaz,\N,\N,actor,"tt2394717,tt0367367",-17.66493,68.72084
267,nm9687322,Luisa Digeni,\N,\N,producer,tt7818080,16.480919,61.18403
268,nm7596128,Phebe Crawshaw,\N,\N,miscellaneous,tt4519400,15.96987,4.225441
269,nm5154501,Carrie Molina,\N,\N,production_designer,tt2250844,-6.4495964,5.0314527
270,nm2970017,Belén Petrini,\N,\N,producer,tt1212058,5.6959395,66.15487
271,nm5851404,Nigel Foss,\N,\N,camera_department,tt2928902,32.598923,-33.255962
272,nm1662770,Margaret Kleckner,\N,\N,writer,tt0044245,-2.305782,7.9228396
273,nm14254644,Sai Krishna Gunti,\N,\N,cinematographer,tt23743658,66.358215,-32.464268
274,nm1153040,Vernon Willet,1959,\N,"actor,art_director","tt0192630,tt0979910,tt0209069,tt0096582",19.024927,-0.10160691
275,nm2540303,Tyler White,\N,\N,actor,tt0872176,-57.478855,-6.2782598
276,nm12730601,Mae Pamatian,\N,\N,actor,tt14968444,22.843039,4.22082
277,nm14472331,Yoshimi Shimada,\N,\N,visual_effects,tt5476944,87.92778,-3.272534
278,nm10075561,Louis A. Valverde,\N,\N,actor,tt8901026,9.160915,-71.401825
279,nm3066388,Bill Jaques,\N,\N,,tt0954381,-60.247196,-35.94942
