,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
8053,nm2468762,Umer,\N,\N,actress,"tt3467684,tt0819794",Pasha Umer Hood,-15.536296,44.93374
8054,nm12444291,Cilliers,\N,\N,,"tt2183739,tt11834006,tt2079265,tt1461349",Jakkie Cilliers,-25.264599,-24.614817
8055,nm11183781,Collins,\N,\N,"art_department,art_director","tt11388406,tt9419834,tt10327252,tt7772588",Cliff Collins,50.88037,-79.27643
8056,nm6449403,Marie,\N,\N,make_up_department,"tt2505072,tt2908090,tt3596060,tt3170366",Kaitlyn Marie Frandsen,64.048546,-6.9433994
8057,nm4306027,Perdomo,\N,\N,"animation_department,art_department,miscellaneous","tt3955408,tt2103204,tt5591458,tt3630406",Aaron Perdomo,-57.813633,-29.868258
8058,nm10844018,Shusler,\N,\N,,tt10654432,Joey Shusler,4.032975,1.002432
8059,nm6420979,Burruel,\N,\N,miscellaneous,tt3661396,Juan Burruel,15.147497,-18.576778
8060,nm10710105,Araújo,\N,\N,,\N,Domingos Araújo,-32.821957,32.305244
8061,nm12142726,Smith,\N,\N,,\N,Jessica Smith,74.92386,-73.946976
8062,nm3916505,Taranto-Kent,\N,\N,"art_department,actor,producer","tt1281374,tt4010840,tt1935277,tt1865545",Ethan Taranto-Kent,48.318325,-10.407998
8063,nm2436424,Moses,1935,2021,executive,"tt3738128,tt0109839,tt2691786,tt3458196",Bob Moses,24.895182,-37.151646
8064,nm10857725,,\N,\N,animation_department,tt10968104,Tenzing,-18.5428,85.90193
8065,nm5094112,Henderson,\N,\N,,tt2372557,Kaelyn Henderson,32.82037,-59.29242
8066,nm4177173,Huddleston,\N,\N,camera_department,tt0995863,Jonathan Huddleston,22.634172,-10.185128
8067,nm6813053,Sal,\N,\N,"actress,producer,production_manager","tt2732140,tt4081530,tt4686550",María Sal,-38.216007,4.1758394
8068,nm9451563,Glass,\N,\N,actor,tt7685958,Nick Glass,69.77415,16.021345
8069,nm7707432,Puhakka,\N,\N,actor,tt5175792,Otto Puhakka,-65.89053,31.993332
8070,nm0087708,Blashchuk,1945,\N,actor,"tt0158083,tt0067438,tt0098875,tt0067695",Yuri Blashchuk,-69.192604,3.6340208
