,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
8464,nm12354439,Andrews,\N,\N,,\N,Juan Andrews,-16.548845,2.5945396
8465,nm8778592,Storm,1995,\N,,tt5822916,Lexi Storm,-5.5265584,-0.087063685
8466,nm6210643,Rahman,\N,\N,,tt0123338,Abdul Rahman Rashid,-0.30405217,5.1202793
8467,nm3665222,Payne,\N,\N,actress,tt1535470,Carrie Payne Elwin,-18.154165,3.5521681
8468,nm13010547,McFeat,\N,\N,,\N,Victoria McFeat,-3.8415923,-0.45130864
8469,nm11652002,,\N,\N,,\N,Michael,19.967117,2.962633
8470,nm13194555,Garcia,\N,\N,,\N,Hernando Garcia,-15.767672,-14.031545
8471,nm3179733,Lepora,\N,\N,,tt1294182,Chiara Lepora,-2.637368,-1.2400057
8472,nm13958693,Moreira,\N,\N,,tt4367278,Bryce Moreira,-5.799967,8.6512
8473,nm9402558,Liester,\N,\N,"director,writer,producer",tt7608098,Aexis Liester Maurer,-2.826325,-1.4819624
8474,nm12423393,Lachapelle,\N,\N,,tt3069720,Ryan Lachapelle,-10.575676,0.68471324
8475,nm9626968,Cliatt,\N,\N,"producer,miscellaneous,writer","tt26776791,tt12477768,tt23032876,tt8002964",Joshua Cliatt,-2.6073256,-1.3043554
8476,nm6161724,Popovits,\N,\N,actress,"tt21960522,tt9052122,tt4113800,tt9052266",Sophia Popovits,-2.6010373,-0.60483843
8477,nm9026511,Mills,\N,\N,"editor,editorial_department,sound_department","tt7764724,tt8531486,tt6503916,tt7081898",Heather Mills,-17.887552,1.7933127
8478,nm6185923,Hiltunen,\N,\N,,\N,Riikka Hiltunen,-12.406162,0.23089427
8479,nm3435824,Inada,\N,\N,"miscellaneous,producer","tt1226251,tt0493247,tt1468843,tt0875609",Hiroyuki Inada,3.9964013,10.430032
8480,nm7372555,Shin,\N,\N,"editor,assistant_director","tt12176478,tt14880612,tt4708804",Joon-Hee Shin,-5.6014895,20.549671
8481,nm10574986,Grant,\N,\N,actor,tt0112073,Jim Grant,-14.4789295,3.410684
8482,nm11881322,Quinn,\N,\N,actress,tt13057250,Monica Quinn,-15.149031,1.2421603
8483,nm1979665,Camelbeke,\N,\N,"art_department,animation_department,visual_effects","tt1630029,tt4872166,tt4991910,tt7745956",Marc Camelbeke,-3.1017313,-0.86214525
8484,nm11578090,Li,\N,\N,actor,tt12317522,Lilja Li Gille,10.93643,8.903484
8485,nm11471071,Bauer,\N,\N,actor,tt12080912,Marco Bauer,-12.163058,2.279613
8486,nm13420142,León,\N,\N,actress,tt18260640,Blanca León,-11.61681,-5.46706
8487,nm10185504,Hofer,\N,\N,"composer,sound_department","tt0787986,tt9115704",Michael Hofer,-12.0449915,1.7257032
8488,nm6438653,Contreras,\N,\N,"producer,director,writer","tt3076818,tt3396560,tt3093080,tt3482266",Vanessa Contreras,-13.778321,-5.0149355
8489,nm12596340,Amorim,\N,\N,"actor,writer,producer","tt22074582,tt22072304,tt14701384",Lucas Amorim,-5.8861113,8.677693
8490,nm1655603,Paige,1993,\N,actress,"tt0377744,tt5662240,tt0479594,tt1663673",Cassidy Paige Bringas,-9.296857,1.9837867
8491,nm14692195,Xu,\N,\N,,tt27206654,Youyu Xu,10.898689,8.867422
8492,nm14960652,Alissa,\N,\N,,\N,Natalia Alissa Petrisor,-9.285807,1.7603241
8493,nm12196569,Hollifield,\N,\N,,\N,BJ Hollifield,-15.904865,1.7797891
8494,nm13461786,Brown,\N,\N,"miscellaneous,camera_department","tt18294376,tt27460996",Tatiana Brown,18.703009,14.002898
8495,nm11585945,Rese,\N,\N,"writer,set_decorator",tt12335874,Leticia Rese do Nascimento,-12.687697,1.6221159
8496,nm4554469,Liu,\N,\N,actress,tt1776143,Yu-Hong Liu,-5.3143888,21.762075
8497,nm12519860,Jones,\N,\N,,tt12270428,Tom Jones,7.0199385,-16.371004
8498,nm0469253,Krag,\N,\N,actor,"tt0091445,tt0106067,tt0114924,tt0120749",James Krag,-12.737693,0.6774829
8499,nm5014134,Covert,\N,\N,"actor,soundtrack","tt4337848,tt2360751,tt1712191,tt12276418",Kevin Covert,-15.564757,2.344473
8500,nm1949555,Rillón,1929,2017,actor,"tt3960728,tt15469974,tt0480457,tt0463836",Andrés Rillón,-3.3104758,-0.8557518
8501,nm3581532,Gee,\N,\N,"casting_department,actor,producer","tt7431594,tt6527426,tt7721800,tt10569922",Alex Gee,-16.915379,1.5147353
8502,nm8743869,Hesan,\N,\N,,\N,Ahmad Hesan,-2.8931339,-1.3693897
8503,nm12147801,Reese,\N,\N,,tt1353281,David Reese,-18.699646,4.2969136
8504,nm13493847,Kaburagi,\N,\N,miscellaneous,tt15379212,Tatsuhiro Kaburagi,3.8275108,10.657269
8505,nm2930086,Ekman,\N,\N,actress,tt1092316,Virpi Ekman,-12.554646,0.4854069
8506,nm2364620,Parks,\N,\N,make_up_department,"tt0363360,tt0447585",Carolyn Parks,-15.010069,3.0996573
8507,nm3307580,Hachiya,\N,\N,actor,"tt2123146,tt1350498,tt2980734,tt11947418",Douglas Hachiya,3.6323607,10.589001
8508,nm8205240,Varun,\N,\N,sound_department,"tt3569782,tt5082014,tt11651796,tt4600952",Vajjiravel Varun,0.5505574,4.9455056
8509,nm8322371,Donan,\N,\N,art_department,"tt7904842,tt4554690",Benjamin Donan,-15.736841,3.8211093
8510,nm1823199,Bayindir,\N,\N,"director,writer,cinematographer",tt0442741,Güzella Bayindir,-3.5996914,-1.1360059
8511,nm3258212,Alberto,\N,\N,actor,tt1202520,José Alberto Gallardo,-10.7478285,-2.2497816
8512,nm5192696,Öcalir,\N,\N,actor,"tt1523491,tt2300918",Sinem Öcalir,-3.3986952,-0.91052485
8513,nm0104938,Brandt,\N,\N,actor,"tt0052460,tt0046660,tt0047780,tt0050051",Jim Brandt,-12.843733,1.0806794
8514,nm5403604,Higgins,\N,\N,producer,"tt2212740,tt6263682",Laurie Higgins,-14.775306,1.2459738
8515,nm1845695,Nakajima,\N,\N,actor,"tt2704270,tt0446441",Yasu Nakajima,3.8203478,10.907166
8516,nm3263263,Hughes,\N,\N,sound_department,tt0147743,Roger Hughes,-16.433376,3.6679883
8517,nm8537674,Espinoza,\N,\N,actor,"tt4933650,tt10229076,tt7243132,tt7238456",Caden Espinoza,-13.732282,-4.817124
8518,nm2421504,Provoledo,\N,\N,miscellaneous,tt0133302,Elizabetta Provoledo,-3.2292085,-1.0440091
